Data.Precipitation,Data.Temperature.Avg Temp,Data.Temperature.Max Temp,Data.Temperature.Min Temp,Data.Wind.Direction,Data.Wind.Speed
0,39,46,32,33,4.33
0,39,47,31,32,3.86
0.16,46,51,41,35,9.73
0,45,52,38,32,6.86
0.01,34,38,29,19,7.8
0.09,38,44,31,9,8.7
0.05,30,36,24,9,16.46
0.15,22,32,9,2,3.1
0.6,34,36,31,20,9.1
2.15,38,43,33,9,9.76
0,31,39,23,14,17.9
0,14,30,4,2,2.2
0.02,27,34,19,14,8.23
1.22,39,42,35,9,11.26
0,40,42,37,9,19.76
0.7,36,40,31,10,9.23
0.14,34,37,30,6,11.2
0.17,37,41,33,15,6.16
0.05,39,42,35,10,18.83
1.3,40,42,36,11,21.8
0.1,27,33,20,11,11.76
0.01,30,39,20,15,3.7
0.08,29,32,25,6,12.86
0,0,8,-9,20,0.36
0.4,37,42,32,8,10.5
0,60,60,60,18,1.83
0,60,60,60,0,0
0,60,60,60,0,0
0.37,43,46,39,19,11.26
0.55,38,42,33,14,5.2
0.15,32,35,29,22,9.03
0.04,32,39,23,2,4.93
0,21,29,13,8,3.83
0.05,6,9,2,6,13.76
2.42,36,40,32,11,5.93
0,41,57,24,6,4.2
0,40,54,25,4,4.2
0,58,69,45,13,5.8
0,56,69,43,12,12.93
0,29,42,15,27,2.7
0,39,51,27,27,5.16
0,38,48,27,29,7.4
0,42,49,34,0,0
0,47,60,33,34,2.2
0,27,42,12,32,3.06
0,35,49,21,21,1.56
0,44,51,37,6,4.06
0.06,44,53,33,0,0
0,46,55,36,25,0.86
0,47,53,41,6,6.56
0,54,65,43,24,2.13
0,55,63,45,15,2.76
0,44,50,36,33,7.73
0,45,51,38,34,6.16
0,44,52,34,34,3.63
0,49,57,41,8,6.46
0,55,64,45,24,1.83
0.04,46,51,41,10,4.43
0,39,44,33,8,18.8
0,51,62,39,12,4.9
0,51,63,37,21,3.86
0,42,51,33,26,1.86
0,14,33,-5,32,1.4
0,28,45,9,15,3.13
0,-10,3,-23,12,0.4
0,27,40,12,20,7.2
0,14,24,4,8,4.46
0,26,47,4,27,1.93
0,38,43,32,27,8.86
0,34,40,27,24,6.2
0,37,46,27,28,6.43
0,37,46,27,28,6.43
0.75,63,68,58,32,6.23
0.49,76,82,70,28,5.16
0.62,56,62,51,33,4.6
0.49,56,61,50,31,4.83
0.5,79,82,74,17,4.53
1.13,76,82,70,17,3.33
0.14,65,72,57,31,6.93
0.12,48,52,44,35,9.33
0.46,53,57,48,34,6.16
0.18,66,71,59,8,5.73
0.97,69,74,62,28,6.9
0.24,74,80,67,27,6.83
0.66,51,58,47,32,5.06
0,45,54,36,29,5.1
0,42,48,36,31,10.93
0,48,56,41,31,3.06
0.01,47,53,40,31,5.46
0.41,56,62,49,31,5
0.11,73,81,65,20,3.33
0,73,81,64,24,5.13
0.04,71,80,60,3,8.4
0.04,72,79,64,14,8.86
0,70,79,60,23,6.06
0,15,23,7,16,3
0,21,29,12,9,2.56
0,8,21,-4,2,2.66
0,25,30,20,28,12.16
0,25,31,19,28,10.9
0,29,35,22,28,8.2
0,29,35,22,28,10.53
0,24,30,18,28,9.73
0,31,37,24,27,9.96
0,35,43,27,27,6.06
0,29,31,25,26,13.2
0,29,34,24,26,10.73
0.03,27,30,23,26,11.83
0,22,28,15,28,11.46
0,24,32,16,30,10
0,21,27,14,28,11.86
0,21,31,11,30,8.63
0,22,29,13,28,11.06
0,31,43,18,29,8.96
0,31,46,16,31,8.36
0,30,46,13,28,8.1
0,34,49,19,32,4.9
0,32,43,22,29,5.96
0,33,45,21,29,5.96
0,33,39,27,26,7.73
0,37,45,28,24,2.93
0,35,42,27,25,7.93
0,38,45,31,27,6.7
0,36,47,25,27,5.6
0.09,47,53,40,23,3.43
0.08,47,52,43,12,8.33
0.59,50,54,46,13,11.93
0,46,53,39,21,5.36
0.22,47,53,42,23,6.66
0,29,35,22,24,4.6
0.1,23,29,17,25,5.66
0.01,34,39,28,24,7.53
0,37,48,26,27,5.36
0,38,48,28,27,3.46
0,37,41,31,25,11.83
0,60,60,60,25,11.6
0,31,35,26,25,11.56
0.01,27,32,21,26,8.96
0,32,36,27,24,12.96
0.05,31,34,27,27,11.13
0.04,30,33,26,27,13.3
0.08,26,30,21,27,11.16
0.04,29,32,25,26,12.5
0.21,23,27,18,0,0
0,31,35,27,28,13.23
0.04,24,31,17,28,9.56
0,22,27,17,30,11.56
0,21,25,15,29,7.76
0,23,30,16,28,9.36
0,19,26,13,29,13.73
0,20,29,10,29,9.03
0,42,48,35,30,4.56
0,40,48,32,23,2.36
0.38,47,52,42,35,9.76
0.02,46,51,40,34,5.76
0,44,50,38,33,5.43
0.01,43,49,36,34,5.56
0,40,50,31,23,4.13
0,37,46,27,29,5.96
0,33,41,24,28,9.26
0,29,38,20,28,8.13
0,33,41,24,27,8.63
0,35,45,23,28,7.5
0,26,36,16,28,5.5
0,36,43,29,28,9.03
0,23,29,16,22,18.86
0,0,13,-12,15,1.8
0,8,22,-6,21,4.83
0,7,16,-2,19,6.4
0,8,18,-1,23,6.16
0,17,27,7,22,11
0,10,20,0,18,9
0,3,12,-5,23,0.53
0.01,6,16,-3,31,1.6
0,19,31,6,21,6.26
0,7,16,-2,12,2.33
0,26,37,15,30,9.03
0,26,36,16,18,5.7
0,22,32,12,29,9.43
0,26,43,8,30,6.7
0,22,31,12,31,6.83
0,18,31,5,21,6.36
0,21,33,8,28,10.86
0,20,34,7,26,7.8
0,7,22,-8,26,3.46
0,12,24,-7,12,3.4
0,44,52,35,24,1.03
0,39,47,30,9,7.96
0,22,29,15,18,2.96
0,12,25,-1,8,6.6
0,34,39,29,24,6.16
0,60,60,60,27,52.6
0,36,46,26,28,6.26
0,37,44,30,25,10.1
0,31,38,23,27,4.63
0,31,46,15,27,5.06
0.02,27,36,17,17,1.8
0.01,33,38,28,25,6.23
0.01,25,30,21,26,8.86
0.13,29,34,23,26,13.73
0.01,33,37,29,21,7.3
0,37,44,30,27,8.63
0,40,43,35,27,11.7
0.05,28,34,22,26,11.23
0.19,29,34,23,24,11.5
0,39,46,30,34,10.16
0.16,50,56,44,21,4.43
0,43,53,33,18,2.3
0,41,51,31,30,4.2
0,43,53,32,31,2.36
0,43,52,35,27,1.86
0.63,48,56,40,32,5.03
0,21,30,12,25,7.9
0,20,30,9,25,10.76
0,20,28,12,27,7.8
0,19,28,10,28,9.46
0,21,26,9,24,8.1
0.05,29,32,25,26,11.4
0.02,29,32,26,25,12.43
0,31,35,26,26,8.53
